Customer_ID,Edad,churn_estimado,retencion_estimado,CLTV_1_anio,CLTV_2_anios,CLTV_3_anios,CLTV_4_anios,CLTV_5_anios
414,41,"0,19367244735727374","0,8063275526427263","3498,5986167237465","6135,062598314482","8121,841616918926","9619,032891417279","10747,282028056814"
416,34,"0,27322640691955247","0,7267735930804475","920,9511990043143","1546,4867241932036","1971,3677533903945","2259,958699391666","2455,977651499918"
418,52,0,1,"2057,7102803738317","3980,804000349375","5778,087850793808","7457,792383919446","9027,609704597613"
421,52,0,1,"756,5607659170561","1463,6269022881365","2124,4363755321365","2742,0153224891465","3319,1919084302767"
422,50,1,0,0,0,0,0,0
423,38,"0,2601140961221482","0,7398859038778518","3451,201206247434","5837,645247320999","7487,828711230933","8628,901125959235","9417,932336203474"
426,28,0,1,"1074,579484886098","2078,859377303012","3017,4387160104084","3894,6156680733957","4714,407212057496"
427,50,"0,3431026919787197","0,6568973080212803","2453,8491029542593","3960,32281325434","4885,181247741211","5452,972851400278","5801,553015849556"
430,30,"0,38292161625369525","0,6170783837463047","-509,5567992863046","-803,4226741746534","-972,8977013842758","-1070,6354358477104","-1127,0016444586652"
431,48,"0,15286887303112628","0,8471311269688737","6390,955211539034","11450,746885145258","15456,641298874008","18628,15330749116","21139,075309411877"
433,48,1,0,0,0,0,0,0
436,35,1,0,0,0,0,0,0
437,47,"0,29299673333547194","0,7070032666645281","2574,9850646779614","4276,408291163653","5400,6249071489665","6143,451841672479","6634,275270901002"
439,40,1,0,0,0,0,0,0
441,52,0,1,"9379,551511390187","18145,487503343633","26337,951047225353","33994,45903216155","41150,07397135425"
442,35,1,0,0,0,0,0,0
443,60,"0,07332693572052396","0,926673064279476","265,5654598177299","495,5583181505185","694,7435394529864","867,2478192506906","1016,6450805230857"
445,31,0,1,"3771,0280373831774","7295,3533059655865","10589,115239220173","13667,397419831937","16544,29665404854"
449,35,1,0,0,0,0,0,0
455,41,1,0,0,0,0,0,0
459,24,0,1,"-5411,04656469042","-10468,099428887075","-15194,317058977405","-19611,34288149173","-23739,404397860264"
460,57,0,1,"503,2710280373832","973,6177832125076","1413,1941899182314","1824,0132616058236","2207,956319257779"
462,37,1,0,0,0,0,0,0
465,33,1,0,0,0,0,0,0
466,48,1,0,0,0,0,0,0
468,28,1,0,0,0,0,0,0
471,46,"0,16506413776230122","0,8349358622376988","4383,546071560152","7804,087958398239","10473,184303825643","12555,917255755476","14181,102707185757"
472,27,1,0,0,0,0,0,0
473,36,"0,00939256503710384","0,9906074349628962","537,6313276728513","1035,3711318426638","1496,179310055367","1922,7961394284614","2317,7585721922787"
474,44,1,0,0,0,0,0,0
481,45,"0,7206257237063167","0,2793742762936833","-566,4666086404766","-714,3695982044675","-752,986692289619","-763,0695172546697","-765,7021171870126"
482,33,1,0,0,0,0,0,0
483,62,1,0,0,0,0,0,0
484,35,"0,2686068948222773","0,7313931051777227","7139,217227494054","12019,19316819982","15354,876118167453","17634,965380471393","19193,508899760047"
489,35,1,0,0,0,0,0,0
491,55,0,1,"1195,9159227175132","2313,5943551637874","3358,1536378238566","4334,377266478126","5246,735797930715"
493,43,"0,09671113958785016","0,9032888604121498","9750,842818085419","17982,457488371747","24931,547053675367","30797,93508577356","35750,31168413753"
494,49,"0,2608309203726269","0,7391690796273731","438,1960149561414","740,9071785743786","950,0237507282322","1094,4840350028073","1194,2789652550935"
496,54,1,0,0,0,0,0,0
497,35,1,0,0,0,0,0,0
499,54,"0,03007688034649547","0,9699231196535045","1376,9282418258629","2625,072667854607","3756,4784019405247","4782,063989976484","5711,726768499392"
500,41,1,0,0,0,0,0,0
502,43,1,0,0,0,0,0,0
504,38,1,0,0,0,0,0,0
506,44,0,1,"-5783,009181512851","-11187,690659562242","-16238,794844655133","-20959,452961564377","-25371,282977367406"
507,41,"0,284749803619734","0,715250196380266","519,1245790640692","866,1376231027593","1098,1013127244294","1253,1593263272243","1356,8091157475355"
508,30,"0,1475086546713138","0,8524913453286862","467,9301151236234","840,7398098540391","1137,765079211337","1374,4113142309802","1562,952311669171"
509,38,1,0,0,0,0,0,0
510,44,0,1,"3025,9345794392525","5853,9108219058435","8496,879272809198","10966,943245616074","13275,41424823932"
513,48,"0,47857649411083125","0,5214235058891687","1016,7758364838791","1512,2625854210905","1753,7190693019008","1871,3836359792876","1928,722954554851"
514,52,"0,26484131185307414","0,7351586881469259","2572,9077551311266","4340,660549509866","5555,220199307563","6389,700646804259","6963,042283314475"
515,37,0,1,"8473,149094626167","16391,980024183333","23792,756593862927","30709,370210385914","37173,495085641036"
516,41,1,0,0,0,0,0,0
518,37,1,0,0,0,0,0,0
522,52,0,1,"3070,0934579439254","5939,3396803214255","8620,878205907873","11126,988977483994","13469,148577087844"
523,32,1,0,0,0,0,0,0
524,27,1,0,0,0,0,0,0
525,59,1,0,0,0,0,0,0
527,49,"0,25564928798088715","0,7443507120191128","403,4798252066219","684,1625309803567","879,4208224701985","1015,2532040572071","1109,7456619539748"
532,37,0,1,"10394,897232768692","20109,75445965532","29189,06027917553","37674,39282078321","45604,61014938851"
534,57,1,0,0,0,0,0,0
535,40,1,0,0,0,0,0,0
537,36,0,1,"9710,42046948014","18785,5797867513","27267,03709261219","35193,6327055663","42601,66598870098"
541,51,"0,6138093985743587","0,3861906014256413","1737,0275594618888","2363,9656135567493","2590,243729601156","2671,9133386896146","2701,390007336408"
546,54,"0,7296403366218454","0,27035966337815465","-1403,6871239076913","-1758,3603746627696","-1847,9765809089176","-1870,6201391836241","-1876,3415455320662"
547,59,1,0,0,0,0,0,0
555,28,"0,30590425007000244","0,6940957499299976","7233,710094045612","11926,128255263167","14970,041809090679","16944,5908379374","18225,45634162984"
556,78,1,0,0,0,0,0,0
560,45,0,1,"4051,4018691588785","7837,75875622325","11376,410052545092","14683,560796771115","17774,355884832818"
562,44,1,0,0,0,0,0,0
563,23,0,1,"12186,140113901869","23575,05610820268","34218,902831848296","44166,42313432084","53463,17108055685"
564,26,"0,3133512672745762","0,6866487327254238","1162,5476207930947","1908,5867334571462","2387,34076268553","2694,570526663904","2891,7284033847277"
566,33,0,1,"-6189,869304906542","-11974,793888931346","-17381,265462786305","-22434,042634613368","-27156,26429052651"
569,54,1,0,0,0,0,0,0
571,31,"0,12604081178719673","0,8739591882128033","10426,07196774602","18941,923737072728","25897,53766161603","31578,773828920264","36219,11826707207"
573,38,1,0,0,0,0,0,0
574,46,1,0,0,0,0,0,0
575,44,0,1,"-1033,943875036507","-2000,2465619865134","-2903,3331853042764","-3747,3393753208775","-4536,130207112094"
576,53,0,1,"4332,009345794392","8380,616211022796","12164,360944881117","15700,570976524408","19005,44016497608"
577,38,1,0,-0,-0,-0,-0,-0
580,46,1,0,-0,-0,-0,-0,-0
583,52,1,0,0,0,0,0,0
584,48,1,0,0,0,0,0,0
585,46,"0,20344651678173253","0,7965534832182675","7938,9580892595495","13849,055957599303","18248,78403534406","21524,128638653212","23962,434388658876"
588,40,1,0,0,0,0,0,0
591,35,1,0,0,0,0,0,0
598,38,1,0,0,0,0,0,0
599,41,1,0,0,0,0,0,0
601,58,1,0,0,0,0,0,0
602,36,"0,0019028506162186432","0,9980971493837814","-710,1227863876176","-1372,5260843371027","-1990,4165922116792","-2566,7855216891667","-3104,4230782357663"
605,28,"0,47706827935592866","0,5229317206440713","-564,8444733803333","-840,8959615682511","-975,8081855911149","-1041,742654230549","-1073,9662291234201"
608,38,0,1,"640,5607704804322","1239,2156961630792","1798,7062809132162","2321,5946778759617","2810,275422700957"
610,29,0,1,"2221,0280373831774","4296,755175124465","6236,687079555574","8049,707550986518","9744,119206529454"
611,26,1,0,0,0,0,0,0
613,30,1,0,0,0,0,0,0
614,43,0,1,"9659,925343165887","18687,892953601295","27125,245860550276","35010,622409100724","42380,133202138524"
615,45,"0,7528365462440401","0,24716345375595994","946,4396830856139","1165,0614595745265","1215,5617524186976","1227,2270111056628","1229,921614494473"
618,53,1,0,-0,-0,-0,-0,-0
619,42,"0,035325977530039854","0,9646740224699601","-5281,635175161563","-10043,369987911037","-14336,381086743071","-18206,807521526698","-21696,24662200968"
620,42,1,0,0,0,0,0,0
621,30,0,1,"847,439261463201","1639,4385712418932","2379,624842063101","3071,3877119894637","3717,89506706083"
622,46,1,0,0,0,0,0,0
623,41,1,0,0,0,0,0,0
624,29,1,0,0,0,0,0,0
625,25,"0,9515384143155514","0,04846158568444858","132,4201506027164","138,4176183361567","138,689250856207","138,70155341942674","138,7021106172974"
627,35,1,0,0,0,0,0,0
628,41,"0,29830120191413156","0,7016987980858684","2836,961682728474","4697,422059351121","5917,499452026349","6717,617994093589","7242,330348574711"
629,35,"0,4885179899785501","0,5114820100214499","1829,5042269669102","2704,0448805666992","3122,093302387907","3321,9290473219316","3417,454644044351"
630,33,0,1,"1096,5233348240363","2121,311498210986","3079,057445301593","3974,1471154797305","4810,679517515373"
631,25,1,0,-0,-0,-0,-0,-0
632,54,1,0,0,0,0,0,0
634,26,0,1,"9900,635221962617","19153,56533594637","27801,163573314363","35883,03108487323","43436,1782919376"
641,43,0,1,"11999,82202832944","23214,6089706934","33695,71826262234","43491,147507415735","52645,75427825068"
642,36,1,0,0,0,0,0,0
643,42,"0,44605521886827004","0,55394478113173","2210,9903495498465","3355,631999330927","3948,2191658376964","4255,004743643364","4413,829294813394"
644,34,1,0,0,0,0,0,0
647,36,1,0,0,0,0,0,0
650,20,0,1,"8333,402088200935","16121,628338856013","23400,344460963563","30202,882892839778","36560,39544599512"
651,50,0,1,"1345,5607476635514","2603,0941566949077","3778,3590249485114","4876,737406493936","5903,259258405547"
652,45,"0,16317251879001526","0,8368274812099847","-23,306035795896115","-41,533261246428346","-55,788441772797896","-66,93715842146653","-75,65636633906392"
654,44,0,1,"2221,0280373831774","4296,755175124465","6236,687079555574","8049,707550986518","9744,119206529454"
657,23,0,1,"9132,756826810748","17668,043580839483","25644,947089277553","33099,9970971636","40067,333553131866"
658,36,0,1,"-5706,691734813084","-11040,048496320638","-16024,494067823025","-20682,85441502152","-25036,462216141605"
662,44,0,1,"-141,19626339350904","-273,15538806033993","-396,4816727956959","-511,7398828287388","-619,4578361306482"
664,31,0,1,"2277,196352949766","4405,417243557024","6394,4087301058635","8253,279278282349","9990,541472839812"
665,30,0,1,"1208,523359922605","2337,984443962423","3393,555550541692","4380,070603419513","5302,047288352056"
666,40,0,1,"-214,84112605870328","-415,6272251789867","-603,2777851044851","-778,6521401750446","-942,5534065961281"
669,32,0,1,"1636,63546838493","3166,2013266886024","4595,702128841567","5931,684186928451","7180,265549626472"
670,26,0,1,"709,6448666581483","1372,8643682078198","1992,6956780673254","2571,977276066864","3113,3619470944695"
671,36,1,0,0,0,0,0,0
672,53,0,1,"2441,121495327103","4722,543453576732","6854,713508015636","8847,395801883771","10709,715702695114"
673,41,1,0,0,0,0,0,0
674,33,1,0,0,0,0,0,0
677,49,1,0,0,0,0,0,0
681,34,1,0,0,0,0,0,0
685,46,0,1,"12916,196334696262","24987,407862449778","36268,913963153995","46812,37760867196","56666,08195027753"
690,25,1,0,0,0,0,0,0
691,20,"0,3957726788450504","0,6042273211549496","2742,062714709941","4290,501227371676","5164,902025949951","5658,674784959951","5937,507487236493"
692,52,1,0,0,0,0,0,0
695,53,1,0,0,0,0,0,0
697,32,1,0,0,0,0,0,0
698,55,"0,10046415836969169","0,8995358416303083","3769,433485897098","6938,349862725054","9602,418890842813","11842,068961281266","13724,915233308588"
699,34,1,0,0,0,0,0,0
701,55,1,0,0,0,0,0,0
705,54,"0,1483205751805392","0,8516794248194608","2452,5581567523022","4404,701446732749","5958,5334788595865","7195,324853988408","8179,763888559795"
709,45,1,0,0,0,0,0,0
710,37,0,1,"455,14018691588785","880,5048475849419","1278,0419136307867","1649,5718818979315","1996,796151306478"
712,30,"0,2481920301459808","0,7518079698540192","-774,6854572836407","-1318,9982618778897","-1701,4456493428895","-1970,1624661148846","-2158,9694235756215"
716,25,1,0,-0,-0,-0,-0,-0
717,49,1,0,0,0,0,0,0
718,34,1,0,0,0,0,0,0
719,43,1,0,0,0,0,0,0
721,31,1,0,0,0,0,0,0
