PVP,Edad_Media_Coche,Km_Medio_Por_Revision,churn_percentage,Revision,Margen
24600,2.3529411764705883,59530,0.17647058823529413,1.0,33.0
24941,1.2222222222222223,20954,0.3333333333333333,1.0,33.0
32011,2.25,70251,0.0,1.0,43.0
27932,1.8571428571428572,45798,0.2857142857142857,1.0,33.0
20023,2.0,24004,0.0,1.0,33.0
28287,2.197530864197531,13336,0.5703703703703704,1.0,42.97530864197531
27242,5.0,204640,0.0,1.0,33.0
30892,2.0365853658536586,58692,0.17682926829268292,1.0,5.0
23902,2.1818181818181817,57320,0.2727272727272727,1.0,33.0
20066,1.8943089430894309,41606,0.36585365853658536,1.0,33.0
23753,2.0416666666666665,38935,0.16666666666666666,1.0,43.0
24786,1.7272727272727273,36595,0.0,1.0,43.0
24294,1.6666666666666667,17271,0.3333333333333333,1.0,33.0
17118,1.9703389830508475,32162,0.4194915254237288,1.0,33.0
33099,2.75,63220,0.1388888888888889,1.0,43.0
20364,2.4545454545454546,54738,0.45454545454545453,1.0,33.0
24692,2.0,44333,0.0,1.0,33.0
19723,2.0933333333333333,48907,0.37333333333333335,1.0,33.0
26215,2.125,69809,0.125,1.0,33.0
28871,1.5,0,0.5,1.0,33.0
11004,2.0543933054393304,25206,0.5313807531380753,1.004201680672,28.0
21415,2.2790697674418605,55396,0.18604651162790697,1.0,33.0
35478,2.0652173913043477,50467,0.043478260869565216,1.0,33.0
19091,0.6666666666666666,13745,0.0,1.0,33.0
23668,1.0,0,1.0,1.0,33.0
22079,4.0,52848,1.0,1.0,33.0
19732,2.046242774566474,44771,0.23121387283236994,1.0,33.0
22056,2.2244897959183674,49313,0.3469387755102041,1.0,33.0
21392,2.297872340425532,46859,0.3829787234042553,1.0,33.0
34837,2.269230769230769,41737,0.1346153846153846,1.019607843137,43.0
23359,1.2,26989,0.2,1.0,33.8
26871,1.893939393939394,41424,0.14393939393939395,1.0,33.0
34791,1.9404761904761905,45058,0.08333333333333333,1.0,43.0
12856,1.875,30907,0.46875,1.0,28.0
23762,2.0,0,1.0,1.0,33.0
25188,2.5,0,0.75,1.0,33.0
13094,1.9639639639639639,28948,0.4369369369369369,1.0,28.0
22242,1.951219512195122,0,0.7073170731707317,1.0,33.0
23499,2.473684210526316,71810,0.13157894736842105,1.0,33.0
25491,2.5,33537,0.5,1.0,33.0
32962,2.2110091743119265,46765,0.1743119266055046,1.0,43.0
20273,1.826086956521739,0,0.8260869565217391,1.0,42.0
24804,0.0,27069,0.0,1.0,33.0
25806,1.2857142857142858,38710,0.14285714285714285,1.0,37.0
22294,2.2238805970149254,53718,0.2835820895522388,1.0,33.0
28786,1.1428571428571428,19441,0.2857142857142857,1.0,33.0
26447,2.0,67908,0.07692307692307693,1.0,43.0
19709,1.64,21966,0.36,1.0,33.0
31024,2.3333333333333335,30385,0.3333333333333333,1.0,43.0
30283,1.7777777777777777,67945,0.0,1.0,33.0
23545,2.411764705882353,43820,0.29411764705882354,1.0,33.0
25514,2.1917577796467618,7916,0.6383515559293524,1.00592216582,43.0
22317,2.0240641711229945,756,0.732620320855615,1.002680965147,42.0
31047,1.608695652173913,12640,0.43478260869565216,1.0,33.0
24186,2.4166666666666665,40252,0.5833333333333334,1.0,33.0
